service_id,date,exception_type
Mo-Fr,20260601,2
Sa-Su,20260601,1
Su,20260601,1
TE:Mo-Fr,20260601,2
TE:Mo-Fr,20260622,2
TE:Mo-Fr,20260623,2
TE:Mo-Fr,20260624,2
TE:Mo-Fr,20260625,2
TE:Mo-Fr,20260626,2
TE:Mo-Fr,20260629,2
TE:Mo-Fr,20260630,2
TE:Mo-Fr,20260701,2
TE:Mo-Fr,20260702,2
TE:Mo-Fr,20260703,2
TE:Mo-Fr,20260706,2
TE:Mo-Fr,20260707,2
TE:Mo-Fr,20260708,2
TE:Mo-Fr,20260709,2
TE:Mo-Fr,20260710,2
TE:Mo-Fr,20260713,2
TE:Mo-Fr,20260714,2
TE:Mo-Fr,20260715,2
TE:Mo-Fr,20260716,2
TE:Mo-Fr,20260717,2
TE:Mo-Fr,20260720,2
TE:Mo-Fr,20260721,2
TE:Mo-Fr,20260722,2
TE:Mo-Fr,20260723,2
TE:Mo-Fr,20260724,2
TE:Mo-Fr,20260727,2
TE:Mo-Fr,20260728,2
TE:Mo-Fr,20260729,2
TE:Mo-Fr,20260730,2
TE:Mo-Fr,20260731,2
TE:Mo-Fr,20260803,2
TE:Mo-Fr,20260804,2
TE:Mo-Fr,20260805,2
TE:Mo-Fr,20260806,2
TE:Mo-Fr,20260807,2
TE:Mo-Fr,20260810,2
TE:Mo-Fr,20260811,2
TE:Mo-Fr,20260812,2
TE:Mo-Fr,20260813,2
TE:Mo-Fr,20260814,2
Sa,20260815,2
Su,20260815,1
TE:Mo-Fr,20260817,2
TE:Mo-Fr,20260818,2
TE:Mo-Fr,20260819,2
TE:Mo-Fr,20260820,2
TE:Mo-Fr,20260821,2
TE:Mo-Fr,20260824,2
TE:Mo-Fr,20260825,2
TE:Mo-Fr,20260826,2
TE:Mo-Fr,20260827,2
TE:Mo-Fr,20260828,2
TE:Mo-Fr,20260831,2
TE:Mo-Fr,20260901,2
TE:Mo-Fr,20260902,2
TE:Mo-Fr,20260903,2
TE:Mo-Fr,20260904,2
TE:Mo-Fr,20261026,2
TE:Mo-Fr,20261027,2
TE:Mo-Fr,20261028,2
TE:Mo-Fr,20261029,2
TE:Mo-Fr,20261030,2
Mo-Fr,20261130,2
Sa-Su,20261130,1
Su,20261130,1
TE:Mo-Fr,20261130,2
Mo-Fr,20261201,2
Sa-Su,20261201,1
Su,20261201,1
TE:Mo-Fr,20261201,2
TE:Mo-Fr,20261223,2
TE:Mo-Fr,20261224,2
Mo-Fr,20261225,2
Sa-Su,20261225,1
Su,20261225,1
TE:Mo-Fr,20261225,2
Sa,20261226,2
Su,20261226,1
TE:Mo-Fr,20261228,2
TE:Mo-Fr,20261229,2
TE:Mo-Fr,20261230,2
TE:Mo-Fr,20261231,2
Mo-Fr,20270101,2
Sa-Su,20270101,1
Su,20270101,1
TE:Mo-Fr,20270101,2
Sa,20270102,2
Su,20270102,1
TE:Mo-Fr,20270104,2
TE:Mo-Fr,20270105,2
Mo-Fr,20270106,2
Sa-Su,20270106,1
Su,20270106,1
TE:Mo-Fr,20270106,2
Mo-Fr,20270107,2
Sa-Su,20270107,1
Su,20270107,1
TE:Mo-Fr,20270107,2
TE:Mo-Fr,20270108,2
TE:Mo-Fr,20270426,2
TE:Mo-Fr,20270427,2
TE:Mo-Fr,20270428,2
TE:Mo-Fr,20270429,2
Mo-Fr,20270430,2
Sa-Su,20270430,1
Su,20270430,1
TE:Mo-Fr,20270430,2
Sa,20270501,2
Su,20270501,1
Mo-Fr,20270503,2
Sa-Su,20270503,1
Su,20270503,1
TE:Mo-Fr,20270503,2
TE:Mo-Fr,20270504,2
Mo-Fr,20270601,2
Sa-Su,20270601,1
Su,20270601,1
TE:Mo-Fr,20270601,2
Mo-Fr,20270621,2
Sa-Su,20270621,1
Su,20270621,1
TE:Mo-Fr,20270621,2
TE:Mo-Fr,20270622,2
TE:Mo-Fr,20270623,2
TE:Mo-Fr,20270624,2
TE:Mo-Fr,20270625,2
TE:Mo-Fr,20270628,2
TE:Mo-Fr,20270629,2
TE:Mo-Fr,20270630,2
TE:Mo-Fr,20270701,2
TE:Mo-Fr,20270702,2
TE:Mo-Fr,20270705,2
TE:Mo-Fr,20270706,2
TE:Mo-Fr,20270707,2
TE:Mo-Fr,20270708,2
TE:Mo-Fr,20270709,2
TE:Mo-Fr,20270712,2
TE:Mo-Fr,20270713,2
TE:Mo-Fr,20270714,2
TE:Mo-Fr,20270715,2
TE:Mo-Fr,20270716,2
TE:Mo-Fr,20270719,2
TE:Mo-Fr,20270720,2
TE:Mo-Fr,20270721,2
TE:Mo-Fr,20270722,2
TE:Mo-Fr,20270723,2
TE:Mo-Fr,20270726,2
TE:Mo-Fr,20270727,2
TE:Mo-Fr,20270728,2
TE:Mo-Fr,20270729,2
TE:Mo-Fr,20270730,2
TE:Mo-Fr,20270802,2
TE:Mo-Fr,20270803,2
TE:Mo-Fr,20270804,2
TE:Mo-Fr,20270805,2
TE:Mo-Fr,20270806,2
TE:Mo-Fr,20270809,2
TE:Mo-Fr,20270810,2
TE:Mo-Fr,20270811,2
