stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
relation/13456848,,"Poiana Brașov",,45.5948375,25.55325385,PoianaBrasov,,1,,,,,
relation/13321836,,"Stadionul Municipal",,45.6597426289,25.5699430283,Brasov,,1,,,,,
relation/13321605,,Noua,,45.62028205,25.63409685,Brasov,,1,,,,,
relation/13318069,,"Livada Poștei",,45.6456747004,25.5884387999,Brasov,,1,,,,,
relation/13321595,,Saturn,,45.6345251167,25.6356366499,Brasov,,1,,,,,
relation/13319288,,Roman,,45.6329014001,25.6325423854,Brasov,,1,,,,,
relation/13322445,,"Gara Brașov",,45.6607881007,25.6132810752,Brasov,,1,,,,,
relation/13317881,,Triaj,,45.6756622715,25.6476948283,Brasov,,1,,,,,
relation/13321820,,Rulmentul,,45.6821082,25.6149943399,Brasov,,1,,,,,
node/254344601,,Star,,45.6449812,25.5989181,Brasov,,0,,,1,,
node/262148563,,Patria,,45.6485793,25.6052085,Brasov,,0,,,1,,
node/264561536,,"Liceul Hans Mattis Teutsch",,45.6363005,25.6085693,Brasov,,0,,,1,,
node/264864013,,Toamnei,,45.6507174,25.6181913,Brasov,,0,,,1,,
node/267042578,,"Liceul Meșotă",,45.6542988,25.6116782,Brasov,,0,,,1,,
node/272095074,,"Piața Decebal",,45.643518,25.6178653,Brasov,,0,,,1,,
node/272095075,,Carpaților,,45.6418449,25.6146143,Brasov,,0,,,1,,
node/272095077,,Muncii,,45.6399897,25.6115582,Brasov,,0,,,1,,
node/272095079,,"Liceul Hans Mattis Teutsch",,45.6380032,25.6095804,Brasov,,0,,,1,,
node/273437289,,Carpaților,,45.6419676,25.61576,Brasov,,0,,,1,,
node/285721074,,Poligrafie,,45.6490847,25.6396188,Brasov,,0,,,1,,
node/290004759,,Muncii,,45.6391149,25.610686,Brasov,,0,,,1,,
node/299937126,,Brândușelor,,45.653676,25.6241355,Brasov,,0,,,1,,
node/300089533,,Vlahuță,,45.6579948,25.6208371,Brasov,,0,,,1,,
node/300089535,,IUS,,45.6564478,25.6184012,Brasov,,0,,,1,,
node/300099701,,Warte,,45.6461175,25.5770457,Brasov,,0,,,1,,
node/300099706,,Warte,,45.6463057,25.5766224,Brasov,,0,,,1,,
node/301798665,,Electroprecizia,,45.6143316,25.7205918,Sacele,,0,,,1,,
node/301798666,,Electroprecizia,,45.6140694,25.7214105,Sacele,,0,,,1,,
node/303078870,,Cernatu,,45.6175436,25.6934652,Sacele,,0,,,1,,
node/307019142,,"Piața Decebal",,45.6441626,25.6182955,Brasov,,0,,,1,,
node/310018170,,"Spitalul Județean",,45.646294,25.6211042,Brasov,,0,,,1,,
node/310840809,,Neptun,,45.6418281,25.6353,Brasov,,0,,,1,,
node/314157693,,"Școala Generală 25",,45.6341274,25.606007,Brasov,,0,,,1,,
node/353099740,,Fragilor,,45.6325937,25.6046494,Brasov,,0,,,1,,
node/353100201,,Fragilor,,45.633025,25.6056697,Brasov,,0,,,1,,
node/417677566,,Troiță,,45.8172452,25.589229,Feldioara,,0,,,1,,
node/464246419,,Scriitorilor,,45.6505031,25.6211072,Brasov,,0,,,1,,
node/464267110,,Brândușelor,,45.6548695,25.6239998,Brasov,,0,,,1,,
